Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-221.234556456359	6	2	1
200	-218.117398250933	6	3	1
300	-225.20025896744	5	5	1
400	-217.888269254307	5	2	2
500	-215.610061606846	4	3	2
600	-217.911970613436	5	3	1
700	-213.364522069281	4	2	3
800	-215.513402849952	2	2	3
900	-214.128333273285	3	1	3
1000	-218.559760215949	2	2	2
1100	-230.896067404119	7	3	3
1200	-215.669481852927	4	1	2
1300	-216.066141422034	4	3	3
1400	-211.352952795374	4	1	1
1500	-226.47122402165	7	4	2
1600	-227.438950664559	6	4	1
1700	-216.08384883744	4	6	2
1800	-214.493730604266	5	2	2
1900	-224.35092951419	6	1	1
2000	-217.315899578488	4	1	1
2100	-221.540123064897	5	6	1
2200	-217.056734546238	3	4	2
2300	-216.813605912771	2	4	1
2400	-223.616763425384	5	4	1
2500	-219.940712593022	4	3	2
2600	-227.216659147625	4	4	2
2700	-220.908185410525	5	3	1
2800	-223.647023040684	7	3	0
2900	-218.347697684765	5	5	1
3000	-217.735800786078	5	2	1
3100	-221.645409731251	6	5	1
3200	-219.747794913706	7	3	1
3300	-224.018097102262	7	5	0
3400	-216.712032503837	6	3	1
3500	-213.837787381692	4	3	0
3600	-215.514011336798	4	7	1
3700	-222.234334817901	4	2	1
3800	-217.68795200366	4	1	2
3900	-232.736925685853	8	2	2
4000	-223.290147034391	4	3	2
4100	-221.944071255808	4	5	3
4200	-223.501371143686	4	1	1
4300	-226.785843050018	7	5	1
4400	-232.494757069313	6	4	0
4500	-218.891529174033	4	2	1
4600	-216.819770700308	6	2	1
4700	-214.377410893172	3	2	2
4800	-217.228735676239	3	4	1
4900	-212.68056194841	2	4	2
5000	-216.509375997036	2	5	2
5100	-221.094617782688	2	4	2
5200	-216.435632158549	4	4	1
5300	-220.488472111377	5	2	1
5400	-221.137382170189	2	3	2
5500	-218.35800040341	2	2	3
5600	-215.560942696432	3	2	2
5700	-213.866963897662	2	3	2
5800	-210.475642834589	4	1	3
5900	-209.516844755207	3	3	2
6000	-214.553136222602	7	5	1
6100	-219.760691495962	7	3	1
6200	-216.684869114445	6	1	1
6300	-211.895578291217	5	3	1
6400	-216.332100748934	5	2	1
6500	-214.702626475025	5	2	1
6600	-220.720339715341	5	7	1
6700	-231.457459098189	7	3	1
6800	-227.157115118184	6	3	2
6900	-215.69940936538	3	3	1
7000	-224.4059898803	7	5	1
7100	-219.145406421167	6	3	1
7200	-212.426297518467	4	1	1
7300	-221.91682362687	6	3	3
7400	-211.230266921346	4	2	0
7500	-218.774842612889	4	4	1
7600	-212.198934220529	5	1	1
7700	-226.126807287383	5	3	2
7800	-209.650429865888	4	1	1
7900	-213.917379746293	6	3	2
8000	-235.682507195484	11	4	2
8100	-218.840513736223	6	2	1
8200	-217.852319919451	6	2	1
8300	-211.410955837621	4	5	2
8400	-216.456873269481	4	3	2
8500	-210.213611197471	4	2	2
8600	-217.08786142191	6	2	1
8700	-218.091100128939	6	4	2
8800	-207.580548271749	4	2	1
8900	-217.147550299389	5	2	1
9000	-217.160612539959	3	7	2
9100	-219.075761289477	3	2	3
9200	-210.061600741986	4	2	3
9300	-211.154217607373	3	5	3
9400	-223.596570061263	5	2	2
9500	-212.061596952995	3	1	2
9600	-217.341700711481	3	2	2
9700	-215.328324861451	3	3	2
9800	-215.348840108388	5	2	1
9900	-216.119848462393	6	4	1
10000	-216.058904589097	4	5	1
10100	-217.088093299847	5	3	2
10200	-219.791503600872	7	3	2
10300	-217.040971144378	7	2	1
10400	-215.449403828346	5	2	0
10500	-223.909577755987	6	3	0
10600	-212.782870014074	4	1	1
10700	-212.014193221155	5	1	1
10800	-225.142416339746	6	1	2
10900	-215.562156332085	6	3	1
11000	-213.545247443729	5	2	0
11100	-219.365931278174	5	2	0
11200	-216.972245194873	4	5	1
11300	-212.659453244088	4	2	1
11400	-209.823740822808	4	2	1
11500	-221.724857171865	5	4	2
11600	-215.798702572992	4	4	3
11700	-221.170887789995	6	5	1
11800	-213.327601886758	4	1	0
11900	-219.152132098877	5	1	0
12000	-220.607494863466	5	1	1
12100	-223.066192207016	2	3	1
12200	-213.472952689598	3	2	2
12300	-219.252455938129	5	2	1
12400	-216.892189189409	4	4	0
12500	-219.511836463162	6	2	0
12600	-220.929889833355	4	3	2
12700	-217.451488610709	3	4	1
12800	-216.585413654463	4	5	2
12900	-211.998745564494	5	2	2
13000	-225.607456780296	7	2	1
13100	-230.21929315986	5	5	1
13200	-214.418056131673	5	3	1
13300	-227.023475705271	5	4	1
13400	-221.526127244134	4	4	2
13500	-222.880922577117	7	3	0
13600	-211.603590656239	5	2	2
13700	-224.000323460084	8	1	0
13800	-212.976458466526	4	3	0
13900	-209.677680024125	4	5	0
14000	-223.799420792589	7	7	0
14100	-217.917536601911	5	3	0
14200	-217.259826214011	6	4	1
14300	-222.37440438934	8	3	0
14400	-221.928853170733	6	4	0
14500	-213.637864974454	5	1	0
14600	-223.208001133445	7	2	1
14700	-221.047902031966	7	5	0
14800	-218.053739625739	4	2	1
14900	-220.314158255726	6	5	0
15000	-210.894037360648	4	3	2
15100	-212.617202074934	3	3	1
15200	-212.261073206142	3	3	2
15300	-216.422093288585	4	3	1
15400	-215.677431842304	4	2	1
15500	-211.047795339277	3	3	2
15600	-211.346469926689	3	3	2
15700	-219.062994331503	4	1	2
15800	-219.485845367051	5	4	2
15900	-221.887148663668	4	4	1
16000	-221.959725797484	4	2	1
16100	-221.764533887955	5	4	2
16200	-213.624486328566	3	2	2
16300	-211.852282960267	2	5	2
16400	-215.556748467047	3	1	2
16500	-207.883277565124	4	3	2
16600	-215.253070319173	5	4	1
16700	-215.565835863419	6	1	1
16800	-217.66354644423	5	3	0
16900	-214.75492689378	3	3	0
17000	-217.687954443741	5	3	0
17100	-233.434030541603	8	3	1
17200	-228.952577360164	6	3	0
17300	-231.463275591701	8	4	2
17400	-227.510439298544	7	2	1
17500	-215.70633643003	3	2	3
17600	-215.829495615141	3	3	3
17700	-219.210507837883	3	4	2
17800	-225.452225259386	3	4	2
17900	-221.147129164804	3	1	1
18000	-214.403831735856	5	3	1
18100	-218.07739791092	5	5	2
18200	-214.046753125995	4	3	1
18300	-218.076843872459	6	3	2
18400	-214.041756616746	5	2	0
18500	-217.527971416246	4	1	2
18600	-220.054780628494	3	4	1
18700	-219.637713687215	3	1	1
18800	-220.424009854852	5	5	1
18900	-212.612870956828	4	2	1
19000	-219.845204491549	6	3	2
19100	-230.889397142682	2	4	0
19200	-219.291488546398	4	4	1
19300	-218.550340790297	3	3	1
19400	-229.328100429878	7	3	1
19500	-214.1013958196	4	3	2
19600	-212.060667722755	4	5	1
19700	-225.28868243481	4	3	1
19800	-216.081102984936	5	2	1
19900	-219.941633758414	6	5	1
20000	-219.225827957436	4	5	0
20100	-220.637600350664	7	2	2
20200	-222.359189440392	7	5	1
20300	-222.142198455196	5	2	2
20400	-212.152422970746	4	4	1
20500	-215.224353481606	4	3	1
20600	-211.587569652678	3	2	2
20700	-220.704348306499	3	7	2
20800	-212.134893566444	3	2	3
20900	-213.885623305191	3	3	2
21000	-209.229623781017	4	1	2
21100	-215.134919108158	3	5	2
21200	-217.040928817619	6	1	2
21300	-227.89699588217	7	3	2
21400	-211.304063176041	4	2	1
21500	-213.026457579228	4	2	1
21600	-222.053212830513	6	3	1
21700	-209.293513917815	3	4	2
21800	-224.007138164999	3	5	1
21900	-212.684388176251	3	1	2
22000	-213.522705618628	3	2	2
22100	-218.538995941228	5	1	0
22200	-219.227582643474	5	2	1
22300	-219.403474850809	6	2	1
22400	-212.314290856981	4	3	1
22500	-219.978620934564	6	3	1
22600	-217.430745098643	6	4	1
22700	-215.345514261086	5	2	0
22800	-219.723261384455	4	5	1
22900	-229.367915394736	6	2	1
23000	-218.614067267508	5	3	1
23100	-209.840194281611	3	2	2
23200	-217.500854423325	3	3	1
23300	-216.736804680795	5	2	1
23400	-220.94480530357	4	2	2
23500	-214.58561195267	4	1	2
23600	-218.925827497699	4	2	3
23700	-221.039543469145	4	4	2
23800	-216.48771053645	5	2	2
23900	-217.635800363248	6	1	1
24000	-219.583028939491	5	4	2
24100	-217.497154789607	4	2	1
24200	-221.278972154972	6	1	1
24300	-224.786296200903	7	6	0
24400	-215.906205417728	5	2	0
24500	-234.600095761948	6	4	1
24600	-220.255229988173	5	2	1
24700	-212.976190949549	4	2	2
24800	-219.971336702071	5	5	2
24900	-214.549618532621	4	3	2
25000	-211.580964660309	3	3	2
25100	-211.242534182293	3	1	2
25200	-212.233920075971	3	2	2
25300	-216.023675063742	3	5	3
25400	-217.321867584018	3	3	2
25500	-210.600746421848	3	3	2
25600	-209.902975092476	3	2	2
25700	-223.454808952795	5	4	1
25800	-225.63617503352	7	2	0
25900	-227.117483712472	4	4	0
26000	-222.169901006253	6	1	0
26100	-223.355374110243	7	1	1
26200	-212.194240408169	5	2	2
26300	-214.160074797644	4	2	1
26400	-215.119982763624	5	3	1
26500	-214.521655566833	4	2	2
26600	-214.855838359311	4	2	2
26700	-215.000557332196	5	2	2
26800	-224.902042552378	5	4	2
26900	-224.93813602203	9	1	0
27000	-219.982650910257	6	4	0
27100	-219.229796863751	4	4	3
27200	-206.280965628174	3	3	2
27300	-216.622593775407	4	1	2
27400	-217.261256763549	5	1	2
27500	-214.430317648053	5	2	1
27600	-219.795077311019	6	3	0
27700	-217.59567022658	5	5	1
27800	-216.6452899901	4	4	1
27900	-218.910364408236	6	2	2
28000	-216.606972320259	4	3	1
28100	-212.002078104793	4	4	1
28200	-215.389156665129	6	2	1
28300	-220.575394664647	7	4	1
28400	-218.086593098329	5	2	1
28500	-226.211810870025	8	2	1
28600	-209.887986193202	4	4	2
28700	-218.247389820787	6	3	2
28800	-212.391163876039	4	3	1
28900	-223.379773900279	6	4	0
29000	-215.799654717848	4	6	1
29100	-229.615984213849	8	7	1
29200	-216.558360862177	4	4	2
29300	-228.432912742689	6	2	1
29400	-213.763076159698	4	1	1
29500	-216.432186778507	4	2	0
29600	-212.543187477556	4	3	1
29700	-220.992440570383	5	2	1
29800	-210.711548767604	5	4	1
29900	-220.034578397196	4	5	2
30000	-222.285604426135	5	4	2
30100	-217.747111071468	5	1	0
30200	-225.768863528052	5	1	1
30300	-227.968811972877	5	4	0
30400	-221.709839965414	5	5	0
30500	-219.941213171414	6	3	1
30600	-216.795097045097	4	2	1
30700	-212.395795390853	4	1	0
30800	-224.536390820922	5	5	1
30900	-214.631901870425	6	2	1
31000	-226.111554698816	7	2	1
31100	-217.162213969252	6	2	0
31200	-225.487429638228	4	6	2
31300	-218.95187553065	5	3	1
31400	-216.575537978786	5	4	1
31500	-219.078177819377	4	3	2
31600	-223.641143932584	7	2	1
31700	-215.689460000998	5	3	1
31800	-222.351393910137	5	6	1
31900	-223.806286885721	3	1	2
32000	-210.119028422166	3	3	2
32100	-206.007912128271	3	4	2
32200	-216.75853904207	4	4	2
32300	-213.001233261882	4	5	2
32400	-217.356746049969	5	2	2
32500	-216.770779236293	5	2	1
32600	-213.398805691185	4	1	2
32700	-225.232179585304	6	4	1
32800	-224.886311669249	4	5	2
32900	-222.310752155957	4	2	2
33000	-223.630322153468	5	2	1
33100	-217.335245015037	4	2	0
33200	-217.233968303888	3	3	0
33300	-224.282668648598	6	1	2
33400	-220.476835921926	6	2	1
33500	-222.58922695193	5	2	1
33600	-219.747004709739	4	5	1
33700	-215.254141115392	4	1	1
33800	-217.068554469968	5	2	1
33900	-224.793115192872	6	4	2
34000	-221.676967866858	4	1	1
34100	-227.731437616119	4	2	2
34200	-217.008563331392	4	2	2
34300	-221.844626769519	6	3	1
34400	-221.495578114629	6	3	1
34500	-218.239262778794	5	3	0
34600	-217.005189081839	5	3	1
34700	-216.020756078082	4	2	0
34800	-214.888125519831	4	4	1
34900	-226.441243695553	7	2	2
35000	-213.330279127746	4	4	1
35100	-210.72461057661	6	4	1
35200	-214.544084097286	7	2	1
35300	-211.116054818593	5	1	1
35400	-216.962965400676	6	3	1
35500	-216.061681655711	4	5	1
35600	-216.085720900758	4	4	1
35700	-211.614150128685	4	3	1
35800	-216.632909240437	6	1	1
35900	-207.71523935171	4	5	1
36000	-216.313133772945	6	1	1
36100	-217.023473411192	5	2	1
36200	-212.066317034282	5	2	2
36300	-227.46046846684	8	2	2
36400	-220.273174915242	5	2	0
36500	-214.985140035959	4	5	1
36600	-221.301506558027	6	4	1
36700	-215.982138555274	6	4	1
36800	-218.937941748766	7	3	1
36900	-217.923419023981	5	3	1
37000	-212.670911064255	3	2	2
37100	-225.117679956258	6	3	2
37200	-222.089208676083	5	5	2
37300	-216.997490120425	4	4	2
37400	-217.155369922546	6	5	2
37500	-208.439662130894	4	2	1
37600	-216.226540966499	4	1	1
37700	-224.036387051532	5	2	1
37800	-217.704138353631	6	3	1
37900	-215.406049787173	5	3	0
38000	-222.354284772647	7	1	2
38100	-212.650873237752	5	2	1
38200	-221.453288783279	6	2	1
38300	-214.761740353441	6	2	1
38400	-209.948917870023	5	4	1
38500	-213.74676232403	5	1	1
38600	-219.860186663789	5	2	2
38700	-221.759517483023	7	6	1
38800	-225.511014350904	7	1	1
38900	-215.869487443048	3	2	2
39000	-212.924670303497	3	3	3
39100	-212.946701502968	3	2	3
39200	-218.732418490425	3	4	1
39300	-214.215923950878	3	5	3
39400	-213.43893084385	4	3	2
39500	-214.632155879378	5	3	2
39600	-221.343009922406	6	3	1
39700	-220.595678878195	5	6	1
39800	-215.788731827372	5	4	1
39900	-223.710643503476	6	3	1
40000	-233.966744687185	5	5	1
40100	-213.1268050924	5	2	2
40200	-218.576303138192	3	5	2
40300	-235.824343441969	4	8	1
40400	-221.468549498123	4	2	1
40500	-218.068234605415	4	2	1
40600	-225.900499051287	6	3	2
40700	-224.965516035897	5	5	1
40800	-213.405211570108	4	2	1
40900	-220.039985784444	5	4	1
41000	-214.294078342846	4	3	1
41100	-214.274724560861	4	1	1
41200	-225.741158532646	5	3	1
41300	-229.698597536489	7	2	1
41400	-222.652902540528	5	2	0
41500	-218.161260061013	6	2	1
41600	-217.156233730083	6	3	1
41700	-211.804016356221	4	3	1
41800	-217.538189523695	4	4	2
41900	-224.709178972322	7	4	1
42000	-219.681876292852	6	4	1
42100	-223.941861251521	5	1	1
42200	-217.74783017243	3	1	2
42300	-212.178731594779	2	1	2
42400	-213.952157185852	4	3	2
42500	-214.048620688431	5	2	1
42600	-216.690205292295	4	1	1
42700	-219.993694118595	3	6	0
42800	-222.48747658798	6	2	1
42900	-216.195445279995	4	3	1
43000	-216.046983539924	3	1	1
43100	-229.21648200344	3	5	2
43200	-227.404735641204	3	2	1
43300	-212.148974120375	2	2	2
43400	-219.483168832515	4	3	0
43500	-232.568228285612	8	5	1
43600	-212.088238039653	5	1	1
43700	-219.347974588575	4	2	1
43800	-216.286591159001	5	2	1
43900	-215.572986154057	5	3	2
44000	-217.184474013451	5	1	2
44100	-217.965506551667	5	2	2
44200	-220.312592320968	4	4	2
44300	-217.26954852575	3	4	1
44400	-214.130039192836	2	1	2
44500	-219.921228617483	4	3	3
44600	-231.631617703204	5	6	1
44700	-219.531284111537	5	1	0
44800	-230.434705383623	6	4	1
44900	-221.15725075084	5	3	1
45000	-213.513525291821	3	2	1
45100	-219.127569277297	2	3	2
45200	-221.384125973309	2	5	2
45300	-217.349455512355	3	2	2
45400	-222.253469508976	3	6	2
45500	-229.268687789641	3	3	1
45600	-219.320494141941	4	5	2
45700	-209.497776023699	4	5	1
45800	-211.459980522615	4	6	2
45900	-221.745109269943	7	3	1
46000	-219.552689305912	6	3	0
46100	-217.717753986721	6	1	0
46200	-226.570666232845	7	3	1
46300	-223.4094295175	7	4	1
46400	-225.704747678387	3	4	2
46500	-219.751078434468	3	3	2
46600	-217.920819897394	3	2	1
46700	-220.717259518962	5	2	0
46800	-223.197106012789	4	4	0
46900	-211.556339192308	5	2	2
47000	-224.24242465067	7	4	1
47100	-216.777359159564	4	3	1
47200	-219.785220997068	6	5	1
47300	-215.791794516572	5	3	1
47400	-227.968928827779	8	1	0
47500	-221.811851385144	6	3	2
47600	-207.11946922454	4	2	1
47700	-210.551268754665	4	3	1
47800	-214.339470266644	4	2	1
47900	-215.520899922152	6	2	1
48000	-216.117972398159	5	3	1
48100	-210.73775793045	4	4	1
48200	-224.167009874162	4	6	0
48300	-222.559999825927	8	2	1
