Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-211.856658574391	4	4	1
200	-220.324213582311	7	3	1
300	-218.248756373996	7	1	1
400	-222.852979944825	4	4	1
500	-216.134777312166	4	2	1
600	-229.320574695748	5	4	1
700	-229.785424673602	7	2	1
800	-211.782796285027	3	1	2
900	-211.37837478515	4	1	2
1000	-222.888026420632	3	4	2
1100	-209.658319296077	4	3	1
1200	-224.484128460849	6	3	0
1300	-217.547287070549	4	2	0
1400	-222.901359609936	5	4	0
1500	-221.701523231856	5	3	0
1600	-216.133819100436	4	3	0
1700	-222.307874806125	4	5	0
1800	-231.642859738486	4	5	0
1900	-223.482092583641	5	6	1
2000	-217.962303240004	6	3	1
2100	-216.176837220635	7	2	1
2200	-222.738859241482	5	4	1
2300	-218.463061447304	6	4	2
2400	-222.315100457233	2	3	2
2500	-215.12786415526	5	5	1
2600	-230.641314634207	7	3	1
2700	-216.662138046874	6	4	1
2800	-220.135469566088	5	3	1
2900	-215.351043159187	5	5	1
3000	-218.456845429445	6	4	1
3100	-215.037067299488	6	3	1
3200	-214.579421421909	5	2	0
3300	-215.053483693305	5	4	0
3400	-217.628354683125	5	5	1
3500	-215.993493325418	4	6	1
3600	-216.705714417739	5	2	1
3700	-205.512361972801	3	2	2
3800	-215.088013631352	5	3	3
3900	-213.45996261489	4	3	2
4000	-215.510226171502	6	3	1
4100	-214.226115924626	4	2	1
4200	-215.600811448656	5	1	1
4300	-214.619246317395	4	5	2
4400	-218.999811009266	6	3	1
4500	-219.540005980857	4	2	2
4600	-225.354486495002	6	1	1
4700	-218.566022663876	5	6	1
4800	-224.848377855165	8	3	1
4900	-221.520231849877	8	3	1
5000	-226.822743362857	5	7	1
5100	-227.150594709828	3	4	2
5200	-210.971667657614	3	2	2
5300	-214.270064178599	5	2	1
5400	-223.872651528746	7	2	1
5500	-219.945956055376	6	2	1
5600	-223.4463932265	8	4	0
5700	-221.659858540595	4	5	0
5800	-214.888035451052	4	7	0
5900	-211.123203638616	4	7	0
6000	-211.662140834165	4	1	1
6100	-232.711189010859	10	1	0
6200	-216.927986123742	4	5	0
6300	-216.702124006061	6	6	0
6400	-222.509015082822	6	3	1
6500	-224.898527254161	7	2	0
6600	-214.37728659779	4	3	1
6700	-219.724426055262	5	3	1
6800	-218.498112087071	5	4	1
6900	-216.749104970228	5	5	1
7000	-210.801979522589	3	3	2
7100	-207.588646304551	3	2	2
7200	-208.035423149161	3	3	2
7300	-216.92505049905	3	4	2
7400	-210.009913350566	3	2	2
7500	-218.797773037808	4	3	2
