Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-211.271519524721	4	4	2
200	-217.014868781947	4	1	1
300	-223.009899719258	5	4	0
400	-226.665384887919	8	1	1
500	-216.766090636329	6	2	2
600	-218.145730240795	5	3	2
700	-219.551229393171	5	2	3
800	-219.931726938455	4	4	2
900	-223.214930459887	2	2	4
1000	-220.144074839164	2	1	3
1100	-223.875807213618	4	1	2
1200	-224.179875669832	5	2	2
1300	-227.806022749272	7	5	2
1400	-231.969719187991	7	4	0
1500	-230.382683156377	8	3	2
1600	-210.389380340545	4	4	1
1700	-226.765051502649	6	4	3
1800	-219.316578318708	4	1	1
1900	-219.951427288248	4	1	0
2000	-225.691531044153	5	1	4
2100	-221.412598615646	5	1	2
2200	-218.099603037284	3	2	3
2300	-219.455848302838	4	6	2
2400	-218.909376200348	6	4	0
2500	-217.891954778394	5	4	1
2600	-213.922580714263	5	2	0
2700	-216.557065295476	4	2	1
2800	-215.562834671051	5	1	2
2900	-219.695511020529	5	7	1
3000	-225.314048149319	5	3	1
3100	-237.496183802656	8	3	2
3200	-222.190033181861	5	1	2
3300	-232.079444364158	7	6	1
3400	-216.296912179048	4	2	1
3500	-214.348771875025	5	6	1
3600	-211.759905454047	5	4	0
3700	-210.879575449919	5	2	0
3800	-215.256121140476	5	3	1
3900	-220.073239088285	6	3	1
4000	-215.030099264182	4	2	4
4100	-229.292089911787	8	4	2
4200	-214.083457488632	5	3	3
4300	-220.30249952329	4	3	2
4400	-216.166136349776	4	2	3
4500	-233.463778960598	10	2	1
4600	-224.875967217864	6	6	2
4700	-223.119107189213	8	2	1
4800	-219.076631626631	5	2	1
4900	-217.770366997607	5	3	0
5000	-220.631726281576	6	4	1
5100	-214.584193758546	4	2	1
5200	-224.915889484998	6	5	1
5300	-220.86241998536	6	4	1
5400	-216.046711946701	5	3	0
5500	-218.277427498833	3	4	3
5600	-218.73590866449	4	4	3
5700	-214.016734405104	5	2	2
5800	-223.357167118258	7	1	1
5900	-226.979624476268	9	2	1
6000	-221.29843900969	6	2	1
6100	-218.978081041717	4	4	3
6200	-222.953155507394	4	4	4
6300	-223.374357765785	6	1	2
6400	-219.198620038986	5	4	5
6500	-234.069340508103	4	2	3
6600	-215.668917241787	5	2	1
6700	-214.077241906488	4	1	1
6800	-216.751835209914	4	4	1
6900	-216.222124081277	4	4	0
7000	-231.527084004521	8	5	2
7100	-217.167643403708	5	3	1
7200	-217.844122042812	5	3	1
7300	-217.251606672129	6	2	2
7400	-234.852654893171	7	3	3
7500	-223.24186539192	6	3	2
7600	-213.699712492929	5	1	1
7700	-228.286514276844	4	7	2
7800	-217.245877136841	3	5	3
7900	-219.406406264877	5	2	1
8000	-212.756918539885	3	3	3
8100	-220.170715874616	3	1	5
8200	-223.008893828376	3	3	4
8300	-227.183997902932	4	2	5
8400	-221.725483443044	4	2	2
8500	-220.481842764835	5	2	4
8600	-224.199733047395	6	3	1
8700	-213.860019195906	5	1	1
8800	-226.728651682082	6	3	2
8900	-223.528316141645	7	2	2
9000	-228.493383266254	6	3	4
9100	-216.979135357762	5	3	1
9200	-215.461718533342	5	3	3
9300	-213.395609932545	4	3	2
9400	-215.263671304171	5	3	2
9500	-217.019188180311	6	6	2
9600	-215.489560871845	5	2	1
9700	-213.25728709229	5	2	1
9800	-215.842655187144	4	4	1
9900	-219.418802845205	5	2	4
10000	-212.449574080906	4	2	1
10100	-229.254907821153	7	4	1
10200	-215.602773775361	4	3	3
10300	-226.135222598767	3	7	3
10400	-226.958030093295	5	4	2
10500	-222.535994230398	6	3	2
10600	-222.277354531752	4	4	1
10700	-220.349920410874	6	2	1
10800	-226.770062942524	7	2	1
10900	-221.122607043555	5	2	0
11000	-226.616149822869	6	2	2
11100	-224.538742312828	6	3	2
11200	-215.802734299867	5	4	2
11300	-216.599599854494	6	4	1
11400	-220.257578087401	4	2	4
11500	-221.329500805131	3	4	3
11600	-222.38950938477	6	5	1
11700	-221.235062820956	6	4	1
11800	-220.579602612627	5	1	2
11900	-218.750143836741	5	5	2
12000	-229.609206466936	9	1	2
12100	-217.50953407309	5	1	2
12200	-215.287784502997	5	2	2
12300	-221.180324639551	6	3	1
12400	-217.120846775395	4	1	2
12500	-210.719239823252	4	2	2
12600	-220.436666892383	5	2	0
12700	-215.557014885706	6	2	1
12800	-230.576265773497	7	4	5
12900	-217.88693657974	5	3	1
13000	-222.526360572224	6	1	2
13100	-213.534263364541	6	3	0
13200	-215.262949983856	5	2	1
13300	-230.174818119873	9	3	0
13400	-221.431416797737	6	2	1
13500	-215.196747526827	6	2	0
13600	-225.534150381238	6	3	4
13700	-217.746428523295	5	4	0
13800	-219.804080517787	5	4	0
13900	-222.921601445124	7	5	2
14000	-222.098815577656	8	2	1
14100	-213.195224380067	4	2	0
14200	-225.64184027225	5	2	2
14300	-229.216631739846	7	5	2
14400	-214.96089366209	4	1	1
14500	-216.983249635192	4	1	1
14600	-217.979782568199	5	5	1
14700	-219.065565429323	6	2	0
14800	-219.430455565429	5	3	4
14900	-216.079830173677	6	3	1
15000	-217.242102263839	4	3	3
15100	-216.881584388309	3	1	4
15200	-222.517847746594	4	2	2
15300	-221.027051903571	7	1	3
15400	-234.477592384762	6	2	2
15500	-221.345125405439	5	3	2
15600	-222.802501555602	7	5	1
15700	-218.264482617775	5	5	1
15800	-229.441376211515	6	2	0
15900	-226.653901002113	6	3	3
16000	-219.016644903499	5	7	1
16100	-219.622561345321	5	2	2
16200	-223.789654903324	6	5	1
16300	-222.994507182908	8	2	1
16400	-222.153949917417	6	1	3
16500	-218.291421934559	3	4	3
16600	-227.791720796593	7	3	1
16700	-222.262246390228	6	2	4
16800	-223.631111487314	2	4	4
16900	-228.32353793075	2	4	3
17000	-219.937726439267	4	3	2
17100	-220.471508971288	6	3	1
17200	-231.842934879647	9	4	2
17300	-223.811230529849	5	1	2
17400	-215.533911064344	3	2	3
17500	-223.639084717181	5	1	3
17600	-222.377947817016	3	3	2
17700	-220.423184100656	5	2	0
17800	-227.748590062056	4	6	2
17900	-215.647732921026	3	5	0
18000	-225.317469005778	6	1	2
18100	-220.555695539061	4	3	2
18200	-225.908644074812	4	3	3
18300	-222.675543696888	6	3	1
18400	-231.297998225841	7	2	0
18500	-219.422514142919	5	3	0
18600	-223.694647454758	7	3	1
18700	-224.285796408787	5	2	1
18800	-233.433761444694	6	2	1
18900	-214.769041868175	4	3	1
19000	-225.195195914255	5	2	3
19100	-217.797525894123	4	3	0
19200	-219.60628911987	4	3	1
19300	-218.514964894858	4	3	0
19400	-219.19981720356	5	1	0
19500	-227.449082140449	7	8	1
19600	-218.782745235047	6	2	3
19700	-214.908707214147	4	2	2
19800	-227.205927490417	6	3	2
19900	-215.768513570273	4	2	1
20000	-219.361442193663	6	3	1
20100	-230.875165806989	9	1	2
20200	-220.382902443459	6	3	1
20300	-228.277479940269	6	1	2
20400	-215.190690636396	6	1	1
20500	-224.378770205389	7	3	3
20600	-226.799246948022	5	6	1
20700	-220.105152673146	4	5	1
20800	-223.13951213705	6	2	2
20900	-213.984710316794	5	3	0
21000	-217.272221448874	6	2	1
21100	-220.04904359343	6	4	1
21200	-227.287381874574	6	3	4
21300	-220.605118103857	7	3	2
21400	-221.261758193193	5	6	2
21500	-219.319481311321	7	3	2
21600	-215.204408789795	7	2	1
21700	-222.970793289612	6	7	1
21800	-215.295290411977	5	1	2
21900	-224.290675457577	7	2	3
22000	-234.38036898786	9	5	2
22100	-223.563388903803	5	1	3
22200	-221.3946271308	6	3	1
22300	-215.592692480149	6	3	2
22400	-215.46312738913	5	1	3
22500	-212.744525524242	4	3	2
22600	-223.455420444179	7	3	2
22700	-222.092778571869	7	1	1
22800	-217.861589083739	6	3	0
22900	-217.658219734709	6	4	0
23000	-217.192703597008	6	3	1
23100	-222.401044303131	6	4	0
23200	-220.011692908033	7	2	1
23300	-227.341466676979	5	4	1
23400	-220.18200975208	4	5	0
23500	-224.21283288099	4	4	3
23600	-220.625679527609	5	5	1
23700	-217.480391002513	5	3	2
23800	-218.711045878675	3	3	1
23900	-221.049663509751	5	6	1
24000	-223.687663169466	8	1	1
24100	-214.515129196118	5	4	2
24200	-214.226424775259	5	3	2
24300	-215.854690810247	5	2	2
24400	-215.19574667391	5	3	4
24500	-221.920851952056	6	3	3
24600	-221.959375263256	7	4	0
24700	-221.878467644423	6	4	0
24800	-213.676183079613	4	1	2
24900	-228.44012465049	5	4	2
25000	-218.378969502605	5	2	1
25100	-220.961211264939	5	2	1
25200	-225.368620615763	8	3	1
25300	-222.029883392476	8	1	1
25400	-221.53550809307	4	2	3
25500	-222.224110602526	3	2	3
25600	-222.308014879627	4	5	3
25700	-231.301049801321	4	6	4
25800	-226.777920448635	5	1	0
25900	-225.027542862787	5	2	1
26000	-223.799348656776	3	2	4
26100	-221.134240968875	4	2	2
26200	-227.469665769323	7	2	1
26300	-223.989035711396	6	3	1
26400	-216.744183907798	4	4	1
26500	-227.945434657594	7	2	1
26600	-222.028707888414	5	3	2
26700	-220.363551401123	3	3	2
26800	-220.535258972986	4	3	2
26900	-222.186241659298	4	2	2
27000	-229.491267574191	6	2	1
27100	-214.633294086394	4	2	1
27200	-230.780120198697	7	3	2
27300	-225.327783210899	7	2	1
27400	-221.088596741279	6	5	2
27500	-221.899061362094	7	2	1
27600	-215.366323813042	3	2	4
27700	-221.570168263063	3	4	5
27800	-211.113152837988	4	3	2
27900	-224.357596900329	6	6	1
28000	-217.802044417252	4	1	1
28100	-219.542945785329	5	1	2
28200	-216.183994679731	4	4	3
28300	-214.623563249992	6	4	1
28400	-219.369019269497	5	2	1
28500	-217.326279649066	5	2	2
28600	-221.987795752621	5	3	2
28700	-226.584262518244	7	2	1
28800	-218.959783567238	6	1	0
28900	-214.400244230333	4	3	2
29000	-220.050391525765	6	2	3
29100	-216.164495475025	4	2	0
29200	-226.268542141849	5	4	3
29300	-219.794724058726	4	1	1
29400	-226.170187975868	5	2	1
29500	-232.642942239128	6	4	2
29600	-230.225773800753	7	1	2
29700	-224.718055330413	4	4	4
29800	-220.282142141297	5	3	3
29900	-227.294368063893	6	1	3
30000	-220.248420501546	5	2	3
30100	-231.020698665155	8	5	1
30200	-222.263848117462	5	2	1
30300	-222.340713317808	5	2	1
30400	-224.92378379305	6	5	0
30500	-220.116621846019	4	2	1
30600	-234.840599165971	5	4	2
30700	-221.51217813679	5	2	2
30800	-221.676283256302	3	4	2
30900	-231.225258376509	7	2	2
31000	-223.583743119368	6	6	2
31100	-211.048745647891	3	3	3
31200	-218.785157291723	5	4	3
31300	-240.95911558861	8	6	2
31400	-223.624774949423	5	4	2
31500	-218.840685990548	4	5	1
31600	-217.902799469956	6	4	2
31700	-216.186324930063	4	1	1
31800	-220.364972552002	5	1	0
31900	-217.130279002436	5	3	1
32000	-217.572362391827	4	2	0
32100	-229.563424991118	7	7	1
32200	-218.260265031418	5	5	0
32300	-213.846213500122	5	2	2
