Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-217.116840931732	4	2	3
200	-217.889121630478	4	3	3
300	-232.200303089822	4	4	1
400	-223.627150347066	5	1	2
500	-222.55330360854	4	5	2
600	-223.279727861211	4	1	2
700	-223.047172509203	5	1	0
800	-223.338423433055	6	4	2
900	-218.770790631904	4	4	2
1000	-221.977614995994	4	3	1
1100	-230.420280424852	6	1	4
1200	-224.952658629401	3	2	0
1300	-217.416366712383	5	2	0
1400	-211.256122966466	4	5	1
1500	-215.980106558726	5	2	2
1600	-224.934115081151	7	4	2
1700	-214.25592162987	5	2	0
1800	-221.989998702644	7	4	1
1900	-215.211032511303	5	4	1
2000	-217.614534669039	5	3	2
2100	-223.157517712865	5	3	0
2200	-222.948825575681	5	7	2
2300	-228.197077663045	5	6	3
2400	-216.592984079155	5	2	1
2500	-229.457817733424	6	6	0
2600	-213.956377238092	5	2	1
2700	-221.182225809608	7	2	1
2800	-219.157026380209	6	6	1
2900	-220.483064625942	5	2	0
3000	-223.773369568135	6	2	1
3100	-217.228176005936	4	6	3
3200	-231.900652882891	8	3	1
3300	-217.268939418799	6	5	1
3400	-225.602893478573	6	3	2
3500	-216.90220526501	6	2	2
3600	-212.704205021236	4	2	0
3700	-214.703429356683	4	4	1
3800	-208.548252283502	4	3	1
3900	-215.990301492217	6	4	2
4000	-212.829080461389	5	1	1
4100	-220.590324298415	6	2	2
4200	-218.118711029566	4	1	4
4300	-222.597407428052	3	5	5
4400	-215.330118868317	5	2	1
4500	-216.489448949184	5	2	1
4600	-225.337476742032	7	1	1
4700	-212.831392853508	4	2	3
4800	-213.73688869478	5	1	2
4900	-219.320316552669	5	2	1
5000	-220.891378266282	5	1	3
5100	-219.199550651629	5	2	1
5200	-222.905338488848	6	5	2
5300	-213.840095568087	5	3	2
5400	-219.260980725685	4	1	2
5500	-221.196861908069	6	2	2
5600	-216.78829018944	5	2	2
5700	-217.636970160309	4	3	3
5800	-214.657374972624	3	3	4
5900	-224.898549162741	5	4	2
6000	-225.916648590644	8	5	1
6100	-214.842057220808	4	3	1
6200	-215.096563420039	4	4	1
6300	-223.297338814484	7	1	1
6400	-220.423097353331	4	1	1
6500	-228.107072681048	6	2	1
6600	-215.105065010598	3	3	4
6700	-231.908797084333	4	4	5
6800	-210.416611140185	5	3	2
6900	-216.570406282729	4	3	3
7000	-212.85975531339	3	3	4
7100	-221.869660820196	6	1	3
7200	-209.67905059995	4	3	2
7300	-226.72573072173	5	4	1
7400	-223.025428979658	7	4	1
7500	-231.411249545349	7	3	2
7600	-221.207824592554	4	3	1
7700	-221.296077811501	3	1	2
7800	-218.34517211787	4	2	1
7900	-225.776841174632	6	3	1
8000	-221.901029197974	5	4	3
8100	-225.356676441278	4	7	3
8200	-227.62442493623	4	5	3
8300	-226.547018330569	7	1	1
8400	-220.050062307623	4	2	2
8500	-222.214119446995	6	1	2
8600	-220.558191022185	3	2	1
8700	-233.172511626527	6	2	2
8800	-220.634603556187	5	2	2
8900	-223.313004472522	6	3	2
9000	-227.285659244088	5	1	0
9100	-216.095637155003	3	2	0
