Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-219.862240607197	4	2	1
200	-219.711997846282	4	3	2
300	-222.4631325266	3	2	2
400	-217.564415132664	3	2	1
500	-227.292323089261	7	2	1
600	-224.94087395151	7	2	1
700	-219.890938405911	6	3	2
800	-222.473003648594	5	2	2
900	-236.780382558228	7	7	1
1000	-223.957630496837	5	1	2
1100	-225.568911382029	6	5	1
1200	-219.986212337218	6	3	1
1300	-223.192345963547	6	5	3
1400	-218.56604687235	5	3	0
1500	-216.773542662032	4	1	2
1600	-221.712078786883	5	3	3
1700	-220.503777832117	4	2	2
1800	-220.604097601629	6	2	1
1900	-223.200286264468	7	4	3
2000	-219.347921041382	6	3	1
2100	-219.294656215368	5	4	1
2200	-215.778481708051	5	3	1
2300	-216.996397998014	4	3	0
2400	-217.667797797618	5	2	2
2500	-216.703612949243	6	2	0
2600	-220.773284821424	5	3	2
2700	-227.193357445359	5	4	3
2800	-222.131414082975	7	2	1
2900	-224.257745613256	6	3	2
3000	-219.379020244474	6	3	2
3100	-216.630938271153	5	1	2
3200	-213.388563474256	5	3	0
3300	-215.329312095077	4	5	2
3400	-216.856610409506	4	2	2
3500	-212.68805861765	4	1	0
3600	-218.505285165119	4	2	1
3700	-220.433298474708	4	5	0
3800	-215.694100787944	5	2	1
3900	-214.478680144998	4	3	0
4000	-217.168908422617	5	2	2
4100	-219.251739325414	6	1	3
4200	-217.816774808611	4	5	3
4300	-222.129996619034	7	3	2
4400	-222.026689386271	7	6	1
4500	-218.491334455575	5	4	3
4600	-215.855932512607	6	3	1
4700	-223.022727595379	7	2	1
4800	-224.596872382387	8	2	3
4900	-223.954341247419	7	3	2
5000	-224.505501420668	6	1	3
5100	-222.835411143019	6	3	2
5200	-221.951014811701	5	2	1
5300	-211.548008690889	5	3	1
5400	-215.613847808993	4	5	0
5500	-224.423741347923	5	5	2
5600	-215.565509004895	4	1	0
5700	-222.183792458834	5	2	3
5800	-220.301745717759	5	1	1
5900	-212.854893225962	4	2	2
6000	-214.422298464041	4	4	1
6100	-223.06931408635	5	5	2
6200	-214.554569824494	4	2	1
6300	-213.907558766034	5	1	1
6400	-220.859574121561	5	4	1
6500	-217.176353097329	4	6	3
6600	-232.530462108946	4	4	4
6700	-219.560754163759	4	2	3
6800	-214.705843083071	5	3	1
6900	-217.983369466122	6	2	2
7000	-224.282602257506	4	5	2
7100	-223.940417064994	6	3	1
7200	-217.834247411894	4	1	4
7300	-219.62271956018	4	1	3
7400	-221.216461862584	4	1	0
7500	-224.161238693492	5	4	1
7600	-216.969503179279	3	3	2
7700	-220.567594567549	3	3	2
7800	-222.845353588726	4	2	4
7900	-222.471680553713	4	4	1
8000	-231.234474197221	5	1	2
8100	-218.673407178719	6	3	2
8200	-226.963690834509	6	1	0
8300	-219.681277648898	3	1	3
8400	-222.943306346442	6	4	1
8500	-221.86355977825	5	3	2
8600	-217.108838560343	5	4	1
8700	-216.948512437504	6	2	2
8800	-215.373310175711	5	2	0
8900	-219.196004852494	6	3	2
9000	-220.002073903163	5	1	3
9100	-215.426774028552	4	5	2
9200	-233.996869574089	6	1	5
9300	-227.827716259494	6	3	1
9400	-222.070861113134	6	1	2
9500	-219.331740738627	5	2	2
9600	-223.611064515414	7	2	4
9700	-212.780213594428	5	2	1
9800	-227.808700276607	6	3	2
9900	-222.320430184853	5	5	1
10000	-222.493480867304	7	2	1
10100	-217.344934966538	7	1	1
10200	-217.807544069758	6	3	1
10300	-226.160947715338	7	1	2
10400	-219.118851089929	5	4	3
10500	-227.726430055587	6	3	4
10600	-214.056345285432	5	4	0
10700	-229.393688575595	8	1	3
10800	-218.896910357717	6	3	3
10900	-224.172194070251	6	2	0
11000	-217.389516658159	5	1	0
11100	-220.933758880168	5	1	2
11200	-217.895495117748	4	7	0
11300	-224.870458363619	5	6	0
11400	-218.161279073298	6	4	1
11500	-221.963014338949	5	4	3
11600	-221.145576365886	4	5	1
11700	-224.530712180792	5	2	3
11800	-217.897881039126	6	1	0
11900	-224.518023450053	6	4	4
12000	-226.592423305973	8	1	2
12100	-227.722824003455	8	4	1
12200	-225.166410367743	6	3	0
12300	-217.197314928234	5	2	1
12400	-220.940566026031	5	3	2
12500	-221.534821776245	5	2	3
12600	-218.605598366837	4	3	4
12700	-218.912147029229	5	5	3
12800	-214.146120340367	4	3	3
12900	-218.063959732442	5	4	0
13000	-217.117763371604	4	3	1
13100	-219.893138089638	6	3	2
13200	-217.428733565054	5	2	1
13300	-219.878404362273	5	5	1
13400	-212.115754893213	4	1	1
13500	-213.971530725952	6	3	0
13600	-224.776342365063	8	3	1
13700	-215.155089279986	5	2	3
13800	-215.245728659559	7	3	2
13900	-224.947844802299	7	4	2
14000	-221.420409993317	7	4	2
14100	-216.039726992894	5	5	1
14200	-214.55272570861	3	2	3
14300	-218.960510759921	5	1	3
14400	-212.095788071102	5	3	3
14500	-228.561577864898	9	2	1
14600	-220.147773077569	3	1	4
14700	-220.283583780842	5	3	3
14800	-215.460172588616	4	3	1
14900	-222.877893146581	7	2	2
15000	-232.530601611822	9	1	1
15100	-217.72815601504	6	4	3
15200	-223.201482482845	5	2	3
15300	-218.709866658756	6	2	2
15400	-225.847994537562	6	1	3
15500	-217.910112172893	6	4	1
15600	-228.338388183618	8	2	2
15700	-226.477168187799	6	2	4
15800	-222.536226150256	7	1	2
15900	-221.776873817772	6	2	1
16000	-227.719595316615	6	2	0
16100	-211.363230877088	4	2	3
16200	-222.115197608879	9	3	2
16300	-223.745358940075	5	4	1
16400	-215.417305114179	5	2	3
16500	-212.744827068097	4	3	1
16600	-217.753081924115	6	3	2
16700	-217.378057656969	6	4	1
16800	-219.806940793101	5	3	3
16900	-213.037485697437	4	3	1
17000	-216.52485673019	6	5	1
17100	-217.728503343326	6	3	1
17200	-227.168548579021	7	2	2
17300	-219.393545799945	7	2	0
17400	-218.459250672145	5	2	0
17500	-220.506707449962	6	1	0
17600	-222.262042020466	7	4	2
17700	-224.055928462027	7	3	2
17800	-224.192765312808	6	3	4
17900	-212.293487762539	5	4	3
18000	-216.617118450294	5	3	2
18100	-220.112270935121	6	2	2
18200	-229.521968149749	6	1	2
18300	-225.774315910972	7	2	3
18400	-216.362205399416	4	2	1
18500	-212.566001815167	5	2	0
18600	-214.045470532005	4	4	2
18700	-214.228705685875	4	2	1
18800	-224.685499887217	5	2	1
18900	-215.130257925183	5	2	1
19000	-212.740324611106	4	4	1
19100	-218.319863972859	5	5	1
19200	-216.585612933583	4	3	4
19300	-215.921665591811	6	3	1
19400	-216.92360038448	5	4	1
19500	-220.166484544942	6	2	1
19600	-220.751121456278	7	3	3
19700	-216.088783166725	5	1	1
19800	-223.425532427524	5	2	2
19900	-216.654479468883	5	4	1
20000	-216.03135790984	4	4	0
20100	-226.636224811227	6	3	3
20200	-228.368461700119	8	1	3
20300	-218.002322126136	7	2	2
20400	-220.475867353256	6	3	1
20500	-220.779161070634	7	1	1
20600	-235.873353255829	7	5	2
20700	-216.021743498439	5	4	2
20800	-215.115297992243	5	3	0
20900	-223.760021849029	5	4	3
21000	-213.951512666054	4	2	1
21100	-217.04606508695	4	3	3
21200	-217.871560690102	4	1	3
21300	-222.498583156113	4	5	4
21400	-219.287426246516	4	5	2
21500	-222.573537802351	8	3	0
21600	-213.043298179101	5	3	1
21700	-222.18940339761	6	4	2
21800	-215.591275043648	5	2	3
21900	-230.84723276554	8	7	3
22000	-218.449282602267	5	4	2
22100	-222.172390645114	7	2	0
22200	-229.684922810318	9	4	2
22300	-223.990813464334	7	7	2
22400	-215.192726948947	6	2	2
22500	-225.734129440973	6	4	2
22600	-215.824020083757	4	4	1
22700	-224.05452387498	5	3	1
22800	-218.417256625448	6	1	2
22900	-214.968675686459	5	3	2
23000	-214.773952584241	5	3	1
23100	-222.973112707186	5	6	0
23200	-216.596175700941	5	3	2
23300	-223.565562156041	3	5	2
23400	-220.207877669365	6	5	0
23500	-212.394635184777	4	4	1
23600	-217.072432840662	5	2	1
23700	-222.129355859438	4	6	3
23800	-219.149387120226	5	5	4
23900	-224.230510853621	6	3	3
24000	-223.479495988754	6	3	2
24100	-228.145548391949	8	1	0
24200	-210.834560786822	4	2	2
24300	-218.725134532964	5	3	2
24400	-229.943130865307	7	2	1
24500	-218.814560552271	5	1	2
24600	-220.541209793195	6	5	2
24700	-224.975247778753	6	5	3
24800	-218.827201758295	5	1	2
24900	-216.144671709544	4	6	2
25000	-217.258998391453	4	2	0
25100	-228.087535539099	8	4	2
25200	-215.255212343629	3	2	1
25300	-224.726114131186	4	5	4
25400	-221.814774185608	3	2	2
25500	-225.399517675873	6	1	1
25600	-223.988416817211	7	3	2
25700	-212.346852783493	4	1	1
25800	-222.43810506572	4	4	3
25900	-222.385496426666	7	2	2
26000	-217.404274079609	7	4	1
26100	-213.670613738964	5	4	2
26200	-218.092207565985	6	1	1
26300	-217.67071656531	6	3	0
26400	-214.24998930767	5	4	1
26500	-214.432749386641	5	3	2
26600	-224.125413648422	8	4	1
26700	-216.364130578093	4	3	2
26800	-229.164735368003	6	3	2
26900	-220.817744994321	5	2	1
27000	-227.023230330724	6	4	4
27100	-212.634519120566	5	2	2
27200	-227.74068249281	6	1	3
27300	-218.043610618254	4	5	1
27400	-220.942542075077	6	3	2
27500	-221.717911523687	7	2	1
27600	-225.08751577478	5	2	3
27700	-217.262319507191	4	1	1
27800	-215.058557051088	6	1	1
27900	-223.56586863174	6	3	1
28000	-217.743382412077	5	3	3
28100	-216.619183393468	5	3	3
28200	-214.836535026894	5	1	1
28300	-222.805214983696	5	3	3
28400	-221.575017718009	4	2	4
28500	-231.642749600486	6	1	4
28600	-218.544089797621	5	2	2
28700	-223.967717109521	4	3	2
28800	-226.321772818763	6	3	3
28900	-229.702564241573	4	4	4
29000	-229.016332941315	7	5	2
29100	-221.781949906261	4	4	3
29200	-211.621169106931	5	2	1
29300	-233.40464040337	6	3	3
29400	-222.018886741835	6	1	1
29500	-215.720781085659	5	1	0
29600	-226.035939440356	5	4	2
29700	-213.857069385447	5	4	0
29800	-224.558186619695	7	1	2
29900	-216.484281226083	5	4	1
30000	-228.836530396381	6	5	2
30100	-219.575155349654	4	1	2
30200	-224.743132025059	5	2	2
30300	-220.801540511694	4	1	2
30400	-235.967100330155	8	2	2
30500	-226.522223502727	8	3	0
30600	-221.797243112179	5	6	3
30700	-220.265646970658	5	3	3
30800	-225.727033767792	8	2	2
30900	-212.431955182458	5	2	3
31000	-217.579289567454	5	4	3
31100	-225.404914669693	7	3	3
31200	-225.089401561607	8	7	2
31300	-217.839669004011	6	1	2
31400	-219.340685736017	6	4	2
31500	-223.582336900995	6	1	2
31600	-221.264065522558	5	2	1
31700	-222.385607904337	7	2	0
31800	-226.811248625621	7	3	1
31900	-213.000256702165	4	3	2
32000	-228.123368282878	5	4	1
