,model,LH,AICc,Lambda,Alpha,Mu,Beta,dAICc
1,BConst,-235.745632494079,473.537776616065,0.179578125,NA,NA,NA,0
2,BVar,-235.673796270367,475.488769011322,0.186533567169991,-0.00719274931552718,NA,NA,1.950992395257
3,BDConst,-235.745628573955,475.632433618498,0.179638753140892,NA,8.70152364213596e-08,NA,2.09465700243294
4,BVarDConst,-235.673809595962,477.633333477637,0.186435954207384,-0.0071012092561209,1.19116972663368e-07,NA,4.09555686157205
5,BConstDVar,-235.745635376932,477.776985039579,0.179652902323419,NA,-2.5975523188495e-07,-0.0499288650658016,4.23920842351339
6,BDVar,-235.673802192784,479.829532096412,0.186551892095201,-0.00718075318216143,7.50440400595474e-08,-0.0152442404389626,6.29175548034652
