"Iteration"	"speciation"	"extinction"
2	0.24525921330128	0.0411346692285924
3	0.24525921330128	0.0411346692285924
4	0.238160162901884	0.0399440224590559
5	0.238160162901884	0.0399440224590559
6	0.219367837628869	0.0367921894504747
7	0.219367837628869	0.0367921894504747
8	0.198986546727242	0.0281871880614673
9	0.182307255441464	0.0164973334866463
10	0.185706467876918	0.0198965459220998
11	0.185706467876918	0.0198965459220998
12	0.186154346495803	0.0199445315286866
13	0.17950831783327	0.0132985028661533
14	0.17950831783327	0.0132985028661533
15	0.171425126682719	0.0052153117156025
16	0.171425126682719	0.0052153117156025
17	0.169623690598386	0.00341387563126915
18	0.168555218383345	0.00234540341622882
19	0.168555218383345	0.00234540341622882
20	0.172276717203405	0.00606690223628911
21	0.172276717203405	0.00606690223628911
22	0.165279459526353	0.00582048659209802
23	0.169141050118988	0.00968207718473328
24	0.184001869500182	0.0245428965659269
25	0.184001869500182	0.0245428965659269
26	0.189249460220961	0.0252428409557869
27	0.15081657030277	0.020116510204072
28	0.238513571292667	0.0318138827920983
29	0.180998635609157	0.0241423133601643
30	0.180998635609157	0.0241423133601643
31	0.241904624789063	0.0850483025400701
32	0.175550598208689	0.0617196980031361
33	0.175550598208689	0.0617196980031361
34	0.175550598208689	0.0617196980031361
35	0.175550598208689	0.0617196980031361
36	0.253262363193617	0.0890414315380949
37	0.246644156136317	0.0867146166763578
38	0.234331111914505	0.0823856233341302
39	0.234901011548409	0.082585987409534
40	0.17329311901802	0.0184502734411203
41	0.210318014587913	0.0554751690110136
42	0.225933704921358	0.0710908593444587
43	0.187106064644605	0.0322632190677058
44	0.173064393800585	0.0298419747142545
45	0.17683637490547	0.0336139558191396
46	0.164073115343319	0.0311878506512425
47	0.237033651928529	0.0450565598160113
48	0.182873084790617	0.00781873756832011
49	0.182873084790617	0.00781873756832011
50	0.16964325843609	0.0172294244046068
51	0.16964325843609	0.0172294244046068
52	0.213154410775582	0.0607405767440987
53	0.213154410775582	0.0607405767440987
54	0.168930512672516	0.0128328970111107
55	0.169817613431227	0.0137199977698216
56	0.167971201465295	0.00455051892950946
57	0.155873689548122	0.00422278443396003
58	0.179433005749134	0.00486103142751478
59	0.184724603267808	0.0129354025481953
60	0.198301056340484	0.0166534747685364
61	0.20102862142779	0.0168825377760627
62	0.214560642550945	0.0180189672863262
63	0.217456530976645	0.0292016345416497
64	0.194627009451088	0.00637211301609282
65	0.244443349457285	0.0202678905121655
66	0.227560505832159	0.00338504688703895
67	0.140063011476509	0.00246464162588196
68	0.184903957182098	0.00324000476024407
69	0.190780642374648	0.00911668995279422
70	0.175569388681892	0.00838980130212165
71	0.175569388681892	0.00838980130212165
72	0.173613162095338	0.00643357471556751
73	0.203703589893042	0.0365240025132722
74	0.225917000774672	0.0587374133949022
75	0.173270919925753	0.00609133254598336
76	0.175213757675014	0.00615963293256125
77	0.180907436558379	0.011853311815927
78	0.180907436558379	0.011853311815927
79	0.176180271664481	0.013821328064758
80	0.201951525841473	0.015843080870877
81	0.16682212669372	0.00642273033288
82	0.174369744484397	0.00671331716740805
83	0.174369744484397	0.00671331716740805
84	0.169384149707512	0.00172772239052293
85	0.170262283735152	0.0026058564181635
86	0.2059498995584	0.00315205373621793
87	0.166390230973323	0.00679902299277165
88	0.214413104791924	0.00876132944166403
89	0.186056428204019	0.014263820968297
90	0.176975441038401	0.00518283380267879
91	0.178861843865819	0.007069236630097
92	0.178861843865819	0.007069236630097
93	0.178314329586397	0.0179025303268487
94	0.179504915739363	0.0180220636518465
95	0.179504915739363	0.0180220636518465
96	0.175860108929705	0.0143772568421887
97	0.170083992785231	0.0139050365878921
98	0.18403286948873	0.0150454122208129
99	0.198579166667125	0.0295917093992082
100	0.184936549317675	0.0275587248982396
101	0.180185089983273	0.0228072655638378
102	0.208369948228149	0.0263748168353091
103	0.208369948228149	0.0263748168353091
104	0.208369948228149	0.0263748168353091
105	0.196875486133306	0.0249198837465897
106	0.196875486133306	0.0249198837465897
107	0.17733830928074	0.0184167880976928
108	0.183051309628195	0.0241297884451479
109	0.189854774917316	0.00907342395740937
110	0.201926372314444	0.0354836521948176
111	0.172639276959189	0.00803087578830119
112	0.205280471456894	0.018271742153319
113	0.229980396344817	0.0429716670412417
114	0.192895483120263	0.0360423784207041
115	0.161533730504583	0.0268756856657867
116	0.161533730504583	0.0268756856657867
117	0.186325085103111	0.0239852605121426
118	0.166667589919404	0.00432776532843491
119	0.212739396601162	0.00818794971104962
120	0.205746563051145	0.00485375557961796
121	0.205746563051145	0.00485375557961796
122	0.186070707353193	0.0108166561689076
123	0.239190345722432	0.0250016964911556
124	0.225784739235988	0.0115960900047108
125	0.237791025464858	0.012212721475037
126	0.231774641427348	0.0276498311402536
127	0.226572379949679	0.00855398938132674
128	0.179523731015118	0.00677771972532811
129	0.179523731015118	0.00677771972532811
130	0.176538965199735	0.00666503319621012
131	0.232319935700084	0.0359704071376012
132	0.166090129879117	0.0329949050972328
133	0.224749051015373	0.091653826233489
134	0.238708237608897	0.0973464547746267
135	0.249684735791134	0.101822727544197
136	0.219258875071893	0.0894149040683378
137	0.253474210736602	0.123630239733047
138	0.253474210736602	0.123630239733047
139	0.253474210736602	0.123630239733047
140	0.253474210736602	0.123630239733047
