Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-222.043470247762	6	3	1
200	-224.906037389286	7	3	2
300	-216.95755836653	5	2	3
400	-225.022403818267	8	2	2
500	-222.369005439873	4	4	1
600	-226.094597415906	5	3	3
700	-218.30038736815	5	2	2
800	-227.047851540653	7	4	2
900	-226.071181748025	8	1	0
1000	-218.261480976681	7	1	0
1100	-219.647194276351	6	3	1
1200	-217.937988879596	4	3	0
1300	-219.63381050197	6	2	2
1400	-225.937100077573	5	3	2
1500	-213.552196736883	4	4	0
1600	-215.616637765228	4	3	3
1700	-223.481511021526	6	5	2
1800	-220.753989262277	5	3	3
1900	-220.488568521362	3	4	4
2000	-225.462726847041	4	4	2
2100	-224.126803959808	6	4	0
2200	-214.24705239773	5	2	0
2300	-225.452021599742	7	4	1
2400	-236.142168787615	7	2	6
2500	-225.074869632301	8	1	0
2600	-227.651407210245	5	1	3
2700	-219.927963629695	5	4	1
2800	-215.383050553563	4	4	0
2900	-227.880889309443	7	3	2
3000	-218.782939327421	6	6	1
3100	-223.428849122942	8	4	2
3200	-219.655352848678	5	2	2
3300	-216.733528984839	7	3	0
3400	-226.094511278345	7	5	2
3500	-220.565918555422	3	3	3
3600	-222.984574751049	5	1	0
3700	-224.890504987086	4	2	3
3800	-227.396685348105	5	3	3
3900	-229.363973919264	5	4	1
4000	-223.610347843554	5	5	2
4100	-214.867870522101	5	2	1
4200	-226.961663098054	7	5	1
4300	-222.740626270986	6	3	2
4400	-221.78739998188	4	1	4
4500	-217.268448559407	4	4	1
4600	-225.271594843414	6	3	3
4700	-213.325969628795	6	3	1
4800	-216.27086049799	5	2	1
4900	-217.554726484801	6	3	1
5000	-224.981314350339	4	4	3
5100	-223.382256232921	8	3	2
5200	-221.529048064084	5	3	2
5300	-215.897384032878	5	3	1
5400	-220.664382626869	5	1	2
5500	-218.261270852493	5	4	3
5600	-212.01253670295	5	3	1
5700	-218.641710759663	7	4	1
5800	-212.138573564954	5	2	1
5900	-218.062404115323	6	3	2
6000	-218.084699623788	5	2	3
6100	-219.409153689716	5	4	3
6200	-225.852116875548	6	4	1
6300	-220.553650596446	5	2	3
6400	-221.773283852526	7	1	1
6500	-221.28586499651	4	4	4
6600	-226.458154226281	6	1	4
6700	-222.055105552321	7	4	3
6800	-227.560398819322	7	3	3
6900	-220.126096516739	6	3	2
7000	-216.825725068115	5	2	0
7100	-219.004717186414	4	3	0
7200	-215.850777706944	5	3	1
7300	-225.949047715792	4	5	2
7400	-227.666102414259	2	2	5
7500	-232.644009343828	2	4	1
7600	-222.847360071795	2	5	2
7700	-228.173792040481	3	2	4
7800	-219.200979053643	3	2	5
7900	-219.540174498516	3	3	6
8000	-229.173358351534	6	2	4
8100	-213.835509830567	4	1	1
8200	-223.599300897237	6	1	1
8300	-222.168420208502	6	2	1
8400	-224.859296808001	5	2	3
8500	-225.602019690981	7	4	2
8600	-216.809770703201	6	3	2
8700	-227.017034602709	6	5	2
8800	-212.601059242704	4	2	3
8900	-212.707343238474	5	1	1
9000	-217.5521633311	6	1	1
9100	-213.876743358664	5	4	0
9200	-214.3500632117	4	3	2
9300	-220.907721006051	5	2	1
9400	-216.470301257574	5	1	2
9500	-218.046852809851	5	3	1
9600	-219.864407308485	7	2	2
9700	-222.624836365548	5	1	5
9800	-222.302552525183	6	3	1
9900	-222.296461892534	5	2	3
10000	-229.588393381761	8	4	2
10100	-224.545365785552	6	4	3
10200	-223.965754744644	5	2	6
10300	-228.723189359455	6	3	2
10400	-224.201072268997	6	6	1
10500	-228.08714022725	5	3	3
10600	-221.568577893808	5	3	2
10700	-223.188399214431	5	2	4
10800	-228.730347976279	7	5	3
10900	-213.943491071782	5	1	1
11000	-217.549554715521	5	3	2
11100	-216.708417622886	5	6	2
11200	-226.160658233272	6	5	2
11300	-218.869509255434	4	3	3
11400	-217.211694675038	4	2	3
11500	-222.118110538478	5	4	2
11600	-214.064791219965	4	2	3
11700	-224.944675930443	6	1	3
11800	-228.873636820179	5	6	1
11900	-222.497728914992	3	3	0
12000	-226.757011533977	4	6	0
12100	-215.112380571764	3	4	3
