Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-222.047531241588	6	4	2
200	-228.442702302349	7	4	2
300	-224.271873765082	5	3	4
400	-226.911962787603	6	3	3
500	-221.569271186268	6	2	3
600	-215.199678268108	5	2	1
700	-217.27215086489	5	3	2
800	-217.94440882105	5	3	1
900	-229.998854338622	8	4	1
1000	-229.159708674051	9	2	2
1100	-220.175697379318	5	5	1
1200	-221.006556465616	6	5	3
1300	-220.21732339349	2	2	2
1400	-224.6315945043	5	2	2
1500	-219.409644883378	5	2	1
1600	-223.40792257287	4	3	2
1700	-220.925898688524	4	3	1
1800	-220.276422975399	5	3	3
1900	-217.650924002635	5	1	2
2000	-221.378893027093	6	3	1
2100	-219.064474140615	4	1	1
2200	-219.985604094079	5	6	2
2300	-220.726082957772	6	2	2
2400	-214.85497559225	5	2	0
2500	-224.145291898081	7	2	2
2600	-220.262024157165	4	4	2
2700	-228.499346669215	6	4	4
2800	-226.153967049593	7	3	3
2900	-216.186964700902	5	1	1
3000	-224.105543393996	7	2	4
3100	-215.394118214527	5	2	2
3200	-221.622385795232	7	3	1
3300	-215.100936208665	4	2	2
3400	-218.371283494173	5	1	1
3500	-212.49347253083	4	1	1
3600	-219.183841943999	4	3	1
3700	-221.905867322944	7	3	2
3800	-224.448038445774	8	1	1
3900	-217.192592991507	6	4	1
4000	-216.469579275945	5	3	1
4100	-214.154571867703	4	3	3
4200	-219.9409408762	5	1	3
4300	-219.901471537639	5	4	2
4400	-216.772248349611	6	4	0
4500	-216.972663323284	5	2	1
4600	-220.485613030753	6	2	1
4700	-213.875223545413	4	2	0
4800	-218.686352425897	5	3	2
4900	-220.790778664384	6	2	1
5000	-216.875006900825	4	3	0
5100	-216.729377989866	4	4	2
5200	-224.973623210294	8	4	0
5300	-225.851282160698	5	3	0
5400	-216.656269970505	5	4	1
5500	-226.136621350274	7	3	2
5600	-232.780840161374	8	3	4
5700	-237.48093247938	10	1	3
5800	-215.204431605475	4	2	1
5900	-218.450231456427	5	2	3
6000	-224.669975130322	6	3	2
6100	-215.177767908852	6	2	3
6200	-222.271172276473	6	7	2
6300	-229.020106659027	7	3	3
6400	-224.855523729552	4	2	2
6500	-227.864038018657	3	4	5
6600	-228.534297260522	6	2	3
6700	-232.115843232509	6	3	3
6800	-221.591599524515	5	3	1
6900	-217.87297795014	5	4	1
7000	-216.074663744063	5	2	2
7100	-235.559083150872	7	5	1
7200	-223.176392786585	7	4	0
7300	-220.730966765808	4	2	0
7400	-232.104445600707	6	4	1
7500	-225.692117602638	7	5	3
7600	-222.391207599895	6	1	3
7700	-218.884709566748	2	2	4
7800	-216.357692396302	5	2	2
7900	-226.20010152775	7	4	1
8000	-227.547242047803	6	3	5
8100	-221.484288463866	5	5	1
8200	-220.19749760381	5	1	1
8300	-219.418362300506	6	4	3
8400	-217.889331085265	5	4	1
8500	-216.141196810118	5	3	2
8600	-221.649732730178	6	3	1
8700	-225.003185890944	5	1	3
8800	-228.229328436881	8	1	2
8900	-232.067077798982	6	2	0
9000	-223.747474666441	7	4	0
9100	-221.794197361993	6	3	4
9200	-214.780573249683	5	2	1
9300	-213.613001341639	4	2	1
9400	-227.560158666745	6	2	3
9500	-223.318914406159	7	3	3
9600	-228.117710511015	4	2	4
9700	-233.104931625305	8	3	3
9800	-224.654077491239	8	4	2
9900	-217.196505268702	5	1	3
10000	-225.362292619704	6	4	3
10100	-224.524047132849	7	5	1
10200	-221.933299787205	6	3	1
10300	-229.033042577797	4	6	1
10400	-223.17406688002	5	6	2
10500	-221.985408591587	5	4	1
10600	-223.757547283617	5	3	1
10700	-224.386919703702	6	3	4
10800	-224.347996916927	4	1	1
10900	-228.992144624958	7	2	1
11000	-217.109154096885	5	3	1
11100	-227.97680883281	7	3	4
11200	-223.31441772649	6	4	3
11300	-221.526308372993	6	3	2
11400	-224.234860402632	5	1	4
11500	-220.748094330991	6	3	1
11600	-219.612051853665	4	4	2
11700	-226.320898560079	6	3	2
11800	-225.927464980721	7	2	0
11900	-212.635823472352	4	2	2
12000	-226.932106707566	8	5	1
12100	-212.357216744663	4	1	1
12200	-220.171161065494	7	3	2
12300	-216.591469442185	6	3	1
12400	-221.098857275274	6	4	0
12500	-221.674679972704	4	2	2
12600	-232.266020923987	4	5	1
12700	-219.037283164186	3	1	0
12800	-228.274621828198	5	3	4
12900	-217.509454494736	6	2	0
13000	-218.620230029896	5	2	1
13100	-218.004671219414	4	4	0
13200	-226.79623353589	6	2	1
13300	-223.562071376601	5	1	1
13400	-226.53953950156	6	3	2
13500	-219.577672757082	5	4	1
13600	-227.198121029046	7	3	1
13700	-213.984345635339	5	3	2
13800	-217.636905745658	6	2	0
13900	-219.088121058614	5	7	2
14000	-216.831013084549	5	3	1
14100	-214.993482224703	5	3	3
14200	-217.536703477228	5	4	4
14300	-214.135386214859	5	2	2
14400	-212.797865027661	5	4	1
14500	-217.172395096899	5	4	2
14600	-214.757310435186	6	5	1
14700	-223.511930282189	5	3	2
14800	-225.094734797244	5	3	3
14900	-220.886784515958	7	2	2
15000	-219.67729187304	6	2	1
15100	-222.490404418767	6	1	2
15200	-215.114017486374	5	2	1
15300	-225.436247989212	7	3	3
15400	-219.246098441181	5	1	1
15500	-221.168604905124	7	4	1
15600	-217.181373793466	4	6	0
15700	-225.650771729581	7	1	0
15800	-226.685462156694	5	2	2
15900	-229.978239688498	7	3	3
16000	-219.521194099544	6	4	1
16100	-215.784491548456	4	4	0
16200	-222.690225780142	6	3	3
16300	-221.50209887957	3	6	1
16400	-221.929117296364	7	5	1
16500	-226.287967978261	5	2	3
16600	-219.373704098166	5	6	3
16700	-219.209514722022	5	2	3
16800	-215.472257194484	4	1	3
16900	-214.683016594598	4	3	3
17000	-220.5076707385	5	1	2
17100	-227.688755314239	7	1	1
17200	-227.013472957714	7	3	4
