Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-225.544566002089	8	3	0
200	-211.375281139621	4	2	0
300	-218.882016895741	6	3	2
400	-229.483375676624	8	4	0
500	-218.754172630265	6	3	0
600	-220.562876134201	5	4	2
700	-216.790969833617	3	1	1
800	-219.148406006014	6	2	0
900	-214.363932418646	5	3	1
1000	-217.441015320985	6	5	2
1100	-219.835125722802	6	3	1
1200	-220.448539138479	5	3	1
1300	-219.52270630193	5	3	1
1400	-217.338229447431	5	1	1
1500	-218.716154301568	7	2	1
1600	-220.09559427634	5	6	1
1700	-219.876225854674	4	1	3
1800	-218.110739858177	5	2	3
1900	-219.309945789475	4	1	4
2000	-213.187686942609	6	2	3
2100	-214.858778279303	4	3	1
2200	-231.930005141735	8	5	3
2300	-217.606518962338	3	3	2
2400	-213.037154434269	4	2	3
2500	-220.111946102258	5	3	1
2600	-222.04617106775	5	1	0
2700	-220.224764925454	3	3	0
2800	-217.331699489662	4	4	1
2900	-223.561510876714	7	2	0
3000	-212.936312391656	4	2	1
3100	-218.331931643024	2	4	1
3200	-216.184984923745	4	2	2
3300	-225.24365815069	7	2	3
3400	-224.724790407817	4	9	3
3500	-220.679201117364	5	4	3
3600	-227.054389951976	6	1	1
3700	-220.788707143161	5	1	0
3800	-217.531095038406	5	6	1
3900	-225.548510820926	5	6	0
4000	-222.310933708161	6	4	0
4100	-220.395497218663	4	1	3
4200	-222.436529307258	6	2	0
4300	-233.207892803164	8	3	2
4400	-219.994259990584	4	2	1
4500	-227.536877250014	6	2	0
4600	-230.713831967765	5	4	1
4700	-217.813397521311	4	3	1
4800	-215.732663850859	3	5	3
4900	-214.51926280679	3	2	3
5000	-220.580750083788	5	4	3
5100	-214.813103972843	5	4	1
5200	-233.495385784378	7	3	1
5300	-226.976071050644	4	6	1
5400	-212.186645042751	3	4	3
5500	-220.194074443109	3	1	5
5600	-217.589612865356	3	2	3
5700	-227.356903617011	2	5	4
5800	-219.676316622342	2	3	2
5900	-222.571851912507	3	5	2
6000	-225.501727458538	3	5	3
6100	-214.450688852649	3	2	4
6200	-214.363466382987	3	4	3
6300	-207.568885182296	3	2	3
6400	-213.242467225307	3	1	3
6500	-217.798456672132	5	1	2
6600	-217.208545437593	4	2	3
6700	-220.867392672071	5	5	2
6800	-217.74418546502	7	6	1
6900	-212.06990723743	5	2	2
7000	-223.155015958704	8	1	0
7100	-218.332233133499	6	1	1
7200	-218.563024447327	4	3	1
7300	-218.064176833593	8	2	1
7400	-212.806007142158	4	3	3
7500	-212.760709745808	4	2	3
7600	-214.710309325205	5	3	4
7700	-215.933702776774	6	4	2
7800	-217.002145331778	5	3	2
7900	-231.369886541585	8	3	1
8000	-225.437390974205	4	1	2
8100	-208.952793369589	4	1	2
8200	-218.096943975901	5	3	3
8300	-213.795636017295	3	6	4
8400	-212.288531241419	3	3	3
8500	-229.394907259833	4	4	3
8600	-216.693783633529	3	3	4
8700	-221.560298391184	4	2	2
8800	-221.77937139823	6	1	2
8900	-222.090214126997	7	3	1
9000	-227.707519355161	7	8	2
9100	-222.679314262642	7	4	1
9200	-216.792812691285	5	5	2
9300	-225.072483907643	8	1	1
9400	-219.476332298548	5	2	2
9500	-230.174682786487	9	3	1
9600	-218.286890164327	4	5	2
9700	-220.221440005475	3	3	1
9800	-215.24876100011	3	2	1
9900	-215.720346279892	4	4	1
