Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-213.790657537185	5	3	0
200	-225.252947066686	6	2	2
300	-235.504844326418	9	3	3
400	-212.541749076712	4	2	3
500	-220.115499685687	6	3	2
600	-221.948879437624	5	2	2
700	-219.566575735302	5	2	3
800	-217.277920414284	4	2	2
900	-219.210257467937	5	1	3
1000	-220.253103330047	6	1	2
1100	-223.791846284165	7	4	0
1200	-224.142810626121	8	3	2
1300	-220.72016507128	5	1	2
1400	-227.491034213851	9	4	2
1500	-221.867576205874	6	2	1
1600	-224.307025011924	6	4	0
1700	-229.315626455905	7	1	2
1800	-211.550522544589	4	4	2
1900	-212.936010301696	4	1	1
2000	-225.473087193402	7	1	3
2100	-221.178883578689	4	1	2
2200	-212.252306900886	4	2	2
2300	-225.355412324599	6	1	2
2400	-223.316752970649	4	3	2
2500	-219.775087601477	5	1	0
2600	-227.269940717545	7	3	3
2700	-220.211650066218	5	5	3
2800	-213.256406880794	6	3	1
2900	-232.370218024893	9	1	3
3000	-215.416759459933	4	3	2
3100	-217.422093947033	5	5	2
3200	-215.716287300301	5	1	2
3300	-219.769470470702	6	3	1
3400	-226.274960179535	8	4	1
3500	-231.216274397137	7	2	3
3600	-229.616727244894	8	3	1
3700	-216.287327248745	5	5	0
3800	-216.968997036825	5	3	2
3900	-219.20866228836	5	7	0
4000	-217.586483740385	5	2	2
4100	-226.028519314931	6	2	2
4200	-224.51563753587	7	2	0
4300	-226.667769046843	6	4	2
4400	-222.787382269144	8	4	0
4500	-218.114330243484	5	3	1
4600	-220.532500396727	6	5	2
4700	-224.99057416963	6	3	3
4800	-228.272895602662	3	6	3
4900	-227.610108513416	4	3	5
5000	-218.288862582019	3	4	7
5100	-228.415641269403	5	3	6
5200	-223.144902806286	4	4	4
5300	-229.318417502165	8	2	1
5400	-224.14848432788	5	3	2
5500	-223.630010297363	6	4	3
5600	-214.73020066467	4	1	2
5700	-224.278995145621	6	6	3
5800	-220.515211847837	7	1	2
5900	-220.16474573685	7	3	0
6000	-222.89260216364	7	1	3
6100	-218.399798964219	5	4	3
6200	-219.303494884647	6	5	1
6300	-222.261448814828	6	1	3
6400	-221.50195858345	4	4	5
6500	-225.744584445176	7	4	3
6600	-220.221488424594	6	2	3
6700	-213.767930349061	5	2	1
6800	-222.709765814595	7	5	1
6900	-219.898205792917	4	3	3
7000	-231.224581906914	7	2	2
7100	-226.877570068895	6	2	2
7200	-216.302585615849	6	3	2
7300	-236.097360423252	7	5	5
7400	-223.465851218176	7	3	1
7500	-228.576459467854	7	2	3
7600	-219.412922505671	5	3	0
7700	-224.943778012358	6	3	3
7800	-232.567066816152	9	2	3
7900	-213.176243148119	4	1	1
8000	-222.525695354919	4	6	2
8100	-225.394775627446	6	3	3
8200	-230.908695386493	7	3	2
8300	-217.598376469838	3	2	1
8400	-216.702809168096	5	3	1
8500	-216.671454504682	5	5	1
8600	-220.163437418224	6	3	2
8700	-217.37294485225	6	2	2
8800	-228.601467708072	8	2	1
8900	-219.008335152341	5	4	0
9000	-224.163081043786	5	2	3
9100	-222.631033910472	5	3	1
9200	-220.14447498625	7	1	0
9300	-227.23292087681	4	3	1
9400	-222.771885410902	6	3	1
9500	-218.435234451151	5	4	0
9600	-217.60808859443	4	2	2
9700	-221.346321461735	7	3	1
9800	-226.732676591288	6	2	3
9900	-222.778454499834	7	4	1
10000	-224.880817560186	7	2	3
10100	-228.754086752345	6	3	2
10200	-219.073629194183	5	3	2
10300	-216.647998731537	5	2	3
10400	-226.429034397528	6	4	1
10500	-212.687027070317	4	3	2
10600	-218.688177579099	4	6	3
10700	-215.670404410125	5	5	1
10800	-215.992677238152	5	4	1
10900	-234.336104781437	8	5	2
11000	-230.887587041135	6	3	2
11100	-227.622657023308	5	1	1
11200	-220.671100894274	5	4	0
11300	-225.185653935825	4	1	0
11400	-234.186497900275	7	6	1
11500	-226.754375805465	6	2	2
11600	-222.057675452645	4	4	2
11700	-215.890039662047	4	3	1
11800	-228.117364723309	6	2	2
11900	-221.771680637916	4	4	1
12000	-224.71995616414	6	2	0
12100	-214.795314906198	3	2	0
12200	-226.387086063344	6	2	1
12300	-225.484209543617	4	3	3
12400	-218.177606824889	5	4	1
12500	-225.117191072665	4	1	2
12600	-221.852270337795	5	3	2
12700	-226.889482595886	4	1	3
12800	-227.907738611212	6	3	3
12900	-227.604911293425	6	5	3
13000	-225.332476854512	7	2	4
13100	-223.396572956916	5	1	2
13200	-216.975540637118	6	3	1
13300	-226.115144254789	5	2	2
13400	-232.614197759487	6	4	4
13500	-227.106818179197	4	3	5
13600	-224.026334040269	5	1	3
13700	-228.763946740276	7	3	3
13800	-232.457242188897	9	5	1
13900	-238.325844259485	10	6	3
14000	-228.915117798848	8	4	0
14100	-221.130398252475	4	4	0
14200	-228.173122284332	6	3	2
14300	-217.439842177356	4	3	0
14400	-228.12187847194	4	2	1
14500	-217.610274999878	4	3	1
14600	-217.652598851721	4	3	1
14700	-221.052725540317	5	4	3
14800	-224.398228895164	4	2	3
14900	-223.284862394154	4	3	1
15000	-227.204042628309	8	2	2
15100	-223.469417568354	6	2	3
15200	-214.25537919552	5	2	2
15300	-220.100025279776	6	1	2
15400	-217.9559486682	6	7	2
15500	-235.109665860795	9	4	1
15600	-225.112599973483	7	3	2
15700	-219.485281476077	6	3	1
15800	-230.285459624766	7	2	2
15900	-226.354707112974	7	2	1
16000	-222.736518636903	5	3	1
16100	-222.668227215451	7	3	2
